Last Disposition Date (date of issuance of vacate),Last Disposition Year,House Number,Street Name,Borough Name,ZIP Code,Block,Lot,Complaint  Category Description,Last Disposition Code Description
1/24/2022,2022,3932,BAILEY AVENUE,Bronx,10463,3263,48,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/24/2022,2022,2500,JOHNSON AVENUE,Bronx,10463,5716,500,FAILURE TO MAINTAIN,PARTIAL VACATE ORDER ISSUED                                              P
1/25/2022,2022,513,WEST 145 STREET,Manhattan,10031,2077,22,ILLEGAL HOTEL ROOMS IN RESIDENTIAL BUILDINGS,PARTIAL VACATE ORDER ISSUED                                              P
1/25/2022,2022,1267,37 STREET,Brooklyn,11218,5296,49,EGRESS - LOCKED/BLOCKED/IMPROPER/NO SECONDARY MEANS,PARTIAL VACATE ORDER ISSUED                                              P
1/25/2022,2022,230-17,88 AVENUE,Queens,11427,7943,18,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/25/2022,2022,66,KERMIT AVENUE,Staten Island,10305,3221,1,ILLEGAL HOTEL ROOMS IN RESIDENTIAL BUILDINGS,PARTIAL VACATE ORDER ISSUED                                              P
1/25/2022,2022,66,KERMIT AVENUE,Staten Island,10305,3221,1,ILLEGAL CONVERSION NO ACCESS FOLLOW-UP,PARTIAL VACATE ORDER ISSUED                                              P
1/26/2022,2022,4610,AVENUE L,Brooklyn,11234,7844,41,CONSTRUCTION - CONTRARY/BEYOND APPROVED PLANS/PERMITS                     +,PARTIAL VACATE ORDER ISSUED                                              P
1/26/2022,2022,315,BEACH 30 STREET,Queens,11691,15795,29,SPECIAL OPERATIONS COMPLIANCE INSPECTION,FULL VACATE ORDER ISSUED                                                 F
1/27/2022,2022,691,EAST 183 STREET,Bronx,10458,3089,68,FAILURE TO MAINTAIN,FULL VACATE ORDER ISSUED                                                 F
1/27/2022,2022,4,WEBSTER PLACE,Brooklyn,11215,1054,30,CONSTRUCTION ENFORCEMENT WORK ORDER (DOB),PARTIAL VACATE ORDER ISSUED                                              P
1/27/2022,2022,1961,FULTON STREET,Brooklyn,11233,1536,1,ZONING - NON-CONFORMING,PARTIAL VACATE ORDER ISSUED                                              P
1/27/2022,2022,2516,AVENUE S,Brooklyn,11229,7304,6,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/27/2022,2022,318,SOUTH    4 STREET,Brooklyn,11211,2449,11,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/27/2022,2022,264 GARAGE,  16 STREET,Brooklyn,11215,1054,28,CONSTRUCTION ENFORCEMENT WORK ORDER (DOB),FULL VACATE ORDER ISSUED                                                 F
1/27/2022,2022,603,MOTHER GASTON BOULEVARD,Brooklyn,11212,3794,28,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/27/2022,2022,104-15,197 STREET,Queens,11412,10893,66,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/28/2022,2022,158,EAST 102 STREET,Manhattan,10029,1629,49,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/28/2022,2022,103-30,42 AVENUE,Queens,11368,1977,28,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/29/2022,2022,1314,JEFFERSON AVENUE,Brooklyn,11221,3391,7,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,FULL VACATE ORDER ISSUED                                                 F
1/29/2022,2022,1316,JEFFERSON AVENUE,Brooklyn,11221,3391,8,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/31/2022,2022,509,WEST 142 STREET,Manhattan,10031,2074,21,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/31/2022,2022,837,JENNINGS STREET,Bronx,10459,2964,25,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/31/2022,2022,83,7 AVENUE,Brooklyn,11217,1063,4,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/31/2022,2022,2159,PACIFIC STREET,Brooklyn,11233,1433,58,BUILDING SHAKING/VIBRATING/STRUCT STABILITY AFFECTED,PARTIAL VACATE ORDER ISSUED                                              P
1/31/2022,2022,27,MARCONI PLACE,Brooklyn,11233,1566,5,ILLEGAL CONVERSION                                                        +,PARTIAL VACATE ORDER ISSUED                                              P
1/31/2022,2022,1083,CONEY ISLAND AVENUE,Brooklyn,11230,6686,76,PERMIT - NONE (BUILDING/ PA/ DEMO ETC.),PARTIAL VACATE ORDER ISSUED                                              P
